id,name,city,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday,comments,brew_type,website,x,y,state,zip
1,Fulton Brewing Co,Minneapolis,414 6th Ave N,,3pm-10pm,3pm-10pm,3pm-10pm,3pm-11pm,12pm-11pm,12pm-6pm,"2014 - 13,000 barrels produced (5th in MN)",Brewery,http://www.fultonbeer.com/,-93.279202821999931,44.984943040000068,MN,55401
2,Modist Brewing Co,Minneapolis,505 N 3rd St ,,4pm-10pm,4pm-10pm,4pm-10pm,12pm-12am,12pm-12am,12pm-6pm,,Brewery,http://modistbrewing.com/,-93.276483487999954,44.985080594000060,MN,55401
3,Inbound BrewCo,Minneapolis,701 N 5th St,12pm-12am,12pm-12am,12pm-12am,12pm-12am,12pm-12am,11am-12am,11am-12am,,Brewery,http://inboundbrew.co,-93.281440932999928,44.985558741000027,MN,55401
4,Sisyphus Brewing,Minneapolis,712 Ontario Ave W,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,12pm-12am,12pm-12am,12pm-5pm,,Brewery,https://www.sisyphusbrewing.com/,-93.289138476999938,44.973138940000069,MN,55403
6,LynLake Brewery,Minneapolis,2934 Lyndale Ave S,5pm-11pm,5pm-11pm,5pm-11pm,5pm-11pm,2pm-1am,12pm-1am,12pm-10pm,,Brewery,http://www.lynlakebrewery.com/,-93.288368774999981,44.948910514000026,MN,55408
7,Eastlake Brewery & Tavern,Minneapolis,920 E Lake St #123,12pm-11pm,12pm-11pm,12pm-11pm,12pm-11pm,12pm-11pm,12pm-11pm,12pm-11pm,Midtown Global Market,Brewery,http://www.eastlakemgm.com/,-93.260470507999969,44.948556938000074,MN,55407
8,Insight Brewing,Minneapolis,2821 E Hennepin,3pm-11pm,3pm-11pm,3pm-11pm,3pm-11pm,3pm-12am,12pm-12am,12pm-11pm,,Brewery,http://www.insightbrewing.com/,-93.213166467999940,44.991793195000064,MN,55413
9,Northgate Brewing,Minneapolis,783 Harding St NE,,,4pm-10pm,4pm-10pm,3pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.northgatebrew.com/,-93.221351857999991,44.998450843000057,MN,55413
10,612 Brew,Minneapolis,945 Broadway St NE,4pm-10pm,4pm-10pm,4pm-10pm,4pm-10pm,2:30pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.612brew.com/,-93.246824509999954,44.998958824000056,MN,55413
11,Bauhaus Brew Labs,Minneapolis,1315 Tyler St NE,,,4pm-11pm,4pm-11pm,3pm-11pm,12pm-11pm,,,Brewery,http://bauhausbrewlabs.com/,-93.244668571999966,45.000941731000054,MN,55413
12,Sociable Cider Werks,Minneapolis,1500 Fillmore St NE,4pm-10pm,,4pm-10pm,4pm-11pm,4pm-12am,12pm-12am,12pm-9pm,,Brewery,http://sociablecider.com/,-93.244127867999964,45.004498653000041,MN,55413
13,Able Seedhouse and Brewery,Minneapolis,1121 Quincy St NE,,,3pm-11pm,3pm-11pm,12pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://ablebeer.com/,-93.251011479999988,44.999322662000047,MN,55413
14,Indeed Brewing,Minneapolis,711 15th Ave NE,,,3pm-11pm,3pm-11pm,12pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://www.indeedbrewing.com/,-93.251535921999960,45.003399515000062,,
15,Dangerous Man Brewing Co,Minneapolis,1300 2nd St NE,,4pm-10pm,4pm-10pm,4pm-10pm,3pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.dangerousmanbrewing.com/,-93.266339275999940,45.001015539000036,MN,55413
17,Fair State Brewing Cooperative,Minneapolis,2506 Central Ave NE,4pm-11pm,4pm-11pm,4pm-11pm,4pm-11pm,2pm-12am,12pm-12am,12pm-9pm,,Brewery,http://fairstate.coop/,-93.247569318999965,45.013538426000011,MN,55418
18,Surly Brewing Co,Minneapolis,520 Malcolm Ave SE,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-12am,11am-12am,11am-11pm,"2014 - 39,000 barrels produced (4th in MN)",Brewery,http://www.surlybrewing.com/,-93.210134113999970,44.973163174000035,MN,55414
19,Utepils Brewing Co,Minneapolis,225 Thomas Ave N,4pm-10pm,4pm-10pm,12pm-10pm,12pm-10pm,12pm-11pm,12pm-11pm,12pm-8pm,,Brewery,https://utepilsbrewing.com/,-93.312158518999993,44.978650784000081,MN,55405
20,Wild Minds Artisan Ales,Minneapolis,6031 Pillsbury Ave S,,4pm-10pm,4pm-10pm,4pm-10pm,2pm-11pm,12pm-11pm,12pm-8pm,,Brewery,https://www.wildmindales.com/,-93.281698551999980,44.893176693000029,MN,55419
23,Broken Clock Brewing Coop.,Minneapolis,3134 California St NE,,,,,one weekend,per,month,Pint sales one weekend a month,Brewery,http://brokenclockbrew.com/,-93.270706632000000,45.025418899000044,MN,55418
25,Finnegan's Brewing Co,Minneapolis,502 S 9th St,,,,,,,,,,https://finnegans.org/,-93.265951469999933,44.972100594000040,MN,55414
26,Ashby Brewing Co,Ashby,109 Main St,,,,,,,,,,http://ashbybrewing.us/,-95.816881589999980,46.092960980000043,MN,56309
27,Venn Brewing Co,Minneapolis,3550 E 46th St,,,,,,,,,,http://www.vennbrewing.com/,-93.219879531999936,44.919938023000036,MN,55406
